DATE,ACCT,DESC,Category,Amount
02/14/2020,BARCLAY,VILLA MAYA RESTAURANT,RESTAURANT,-$24.43
02/14/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$59.89
02/15/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$14.00
02/15/2020,BARCLAY,SQ *KIM'S BARBER SHOP,HAIRCUT,-$17.00
02/16/2020,BARCLAY,DCA WOW BAO PIER C,ENZO,-$3.49
02/16/2020,BARCLAY,RITE AID STORE - 10838,ENZO,-$2.54
02/17/2020,BARCLAY,TARGET        00018549,TARGET,$31.15
02/17/2020,BARCLAY,TIM HORTONS #914917,ENZO,-$1.89
02/17/2020,BARCLAY,TIM HORTONS #914917,ENZO,-$5.59
02/18/2020,BARCLAY,BUFFALO/NIAGARA AIRPOR,ENZO,-$33.68
02/18/2020,BARCLAY,BUFFALO CIVIC AUTO RAM,ENZO,-$12.00
02/20/2020,BARCLAY,USPS PO 2384800908,NECESSITIES,-$7.75
02/21/2020,BARCLAY,PARKMOBILE-MONTGOMERY,ENZO,-$0.57
02/21/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$27.46
02/22/2020,BARCLAY,VEIP STATION 12,GAS,-$14.00
02/22/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$113.01
02/23/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$21.08
02/23/2020,BARCLAY,SQ *KIM'S BARBER SHOP,HAIRCUT,-$17.00
02/25/2020,BARCLAY,TST* CHOPT CREATIVE SA,ENZO,-$13.55
02/26/2020,BARCLAY,TST* CHOPT CREATIVE SA,ENZO,-$11.65
02/26/2020,BARCLAY,DCA SAYSIBON PIER B/C,ENZO,-$3.70
02/26/2020,BARCLAY,OLNEY PEDIATRICS-PORTA,MEDICAL,-$8.56
02/28/2020,BARCLAY,BP#9321043FLETCHER'QPS,GAS,-$28.14
02/29/2020,BARCLAY,SQ *TINKERCAST,ENTERTAINMENT,-$33.92
02/29/2020,BARCLAY,SILVER DINER,RESTAURANT,-$60.96
02/29/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$34.97
02/29/2020,BARCLAY,STRATHMORE CAFE,RESTAURANT,-$5.00
02/29/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$11.63
03/01/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$15.82
03/01/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$6.04
03/02/2020,BARCLAY,BALDUCCI'S #102,ENZO,-$10.39
03/02/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$191.74
03/03/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$67.41
03/03/2020,BARCLAY,ST. PATRICK SCHOOL,TUITION,-$104.00
03/03/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$184.90
03/04/2020,BARCLAY,TST* CHOPT CREATIVE SA,ENZO,-$11.65
03/04/2020,BARCLAY,DUNKIN #304246 Q35,ENZO,-$4.28
03/04/2020,BARCLAY,OBGOLNEYBOYSGIRLSCLUB,ENTERTAINMENT,-$250.00
03/05/2020,BARCLAY,PARKMOBILE-MONTGOMERY,ENZO,-$1.24
03/05/2020,BARCLAY,PARKMOBILE-MONTGOMERY,ENZO,-$2.48
03/05/2020,BARCLAY,LA FITNESS,GYM,-$29.99
03/05/2020,BARCLAY,MARKET@WORK 2067379149,ENZO,-$1.11
03/06/2020,BARCLAY,PARKMOBILE-MONTGOMERY,ENZO,-$1.25
03/07/2020,BARCLAY,THE BIG GREEK CAFE - R,RESTAURANT,-$38.14
03/07/2020,BARCLAY,WASHINGTON RADIOLOG,MEDICAL,-$337.64
03/08/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$28.19
03/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.00
03/10/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
03/10/2020,BARCLAY,TARGET 00011932,TARGET,-$10.62
03/10/2020,BARCLAY,NANDO S PERI PERI GAIT,ENZO,-$15.94
03/12/2020,BARCLAY,SAFEWAY STORE 2797,GROCERIES,-$75.09
03/13/2020,BARCLAY,CVS/PHARMACY #01431,MEDICAL,-$18.15
03/13/2020,BARCLAY,MOKO SUSHI,RESTAURANT,-$39.78
03/14/2020,BARCLAY,GNC #9778,ENZO,-$34.19
03/14/2020,BARCLAY,SAFEWAY STORE 2797,GROCERIES,-$349.78
03/14/2020,BARCLAY,THE BIG GREEK CAFE - R,RESTAURANT,-$10.06
03/15/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$21.19
03/15/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$34.08
03/16/2020,BARCLAY,BOARMAN'S FOOD RITE,GROCERIES,-$118.14
03/16/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$157.64
03/17/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$29.95
03/17/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$18.68
03/18/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$77.48
03/19/2020,BARCLAY,DC *GOV'T PAYMENT,NECESSITIES,-$100.00
03/20/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$24.04
03/21/2020,BARCLAY,ILLY CAFFE NA,ENZO,-$37.98
03/22/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$52.95
03/24/2020,BARCLAY,ALTEON HEALTH,MEDICAL,-$139.42
03/25/2020,BARCLAY,QDI*QUEST DIAGNOSTICS,MEDICAL,-$51.89
03/26/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$276.50
03/27/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$42.07
03/27/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$11.58
03/28/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$19.10
03/28/2020,BARCLAY,MOBIL AUTO LLC,NECESSITIES,-$234.06
03/29/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$10.92
04/01/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$12.71
04/01/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$339.88
04/02/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$191.74
04/02/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$28.02
04/03/2020,BARCLAY,"BUTCHERBOX, LLC",BUTCHERBOX,-$149.00
04/04/2020,BARCLAY,SARDI S FUSION,RESTAURANT,-$32.12
04/05/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$6.50
04/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.25
04/10/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
04/13/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$147.97
04/13/2020,BARCLAY,INSTACART SUBSCRIPTION,GROCERIES,-$9.99
04/13/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$120.00
04/14/2020,BARCLAY,INSTACART,GROCERIES,-$258.88
04/14/2020,BARCLAY,INSTACART,GROCERIES,-$3.26
04/16/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$10.20
04/18/2020,BARCLAY,SARDI S FUSION,RESTAURANT,-$40.07
04/19/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$12.73
04/22/2020,BARCLAY,INSTACART,GROCERIES,-$100.00
04/26/2020,BARCLAY,INSTACART,GROCERIES,-$152.88
04/30/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$164.72
05/02/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$65.00
05/02/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$3.07
05/03/2020,BARCLAY,INSTACART,GROCERIES,-$155.00
05/04/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$191.51
05/05/2020,BARCLAY,INSTACART,GROCERIES,-$138.85
05/07/2020,BARCLAY,BHN*GIFTCARDS,NECESSITIES,-$108.44
05/09/2020,BARCLAY,SQ *NIRVANA INDIAN CUI,RESTAURANT,-$58.44
05/09/2020,BARCLAY,AMZN Mktp US*6693O91W3,--,-171.92
05/09/2020,BARCLAY,AMZN Mktp US*6693O91W3,MORTGAGE_CREDIT,-$144.68
05/09/2020,BARCLAY,AMZN Mktp US*6693O91W3,GROCERIES,-$47.24
05/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.69
05/11/2020,BARCLAY,Amazon Tips*XO0PL1HY3,--,-20
05/12/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
05/13/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$21.19
05/14/2020,BARCLAY,INSTACART SUBSCRIPTION,GROCERIES,-$9.99
05/15/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$55.42
05/15/2020,BARCLAY,AMZN Mktp US*MC2P14S62,MORTGAGE_CREDIT,-$51.26
05/15/2020,BARCLAY,INSTACART,GROCERIES,-$85.00
05/16/2020,BARCLAY,GROOVE LIFE,ENTERTAINMENT,-$54.89
05/16/2020,BARCLAY,INSTACART,GROCERIES,-$69.14
05/17/2020,BARCLAY,Amazon Tips*M72DZ0F10,MORTGAGE_CREDIT,-$10.00
05/19/2020,BARCLAY,SP * TOPSOLVING,ENZO,-$54.95
05/21/2020,BARCLAY,SP * TEMPOKIDSEYEWEAR,NECESSITIES,-$199.95
05/22/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$60.00
05/22/2020,BARCLAY,INSTACART,MORTGAGE_CREDIT,-$66.75
05/22/2020,BARCLAY,AMZN Mktp US*M71LP0A42,MORTGAGE_CREDIT,-$118.81
05/24/2020,BARCLAY,Amazon Tips*M798B51T2,MORTGAGE_CREDIT,-$7.00
05/24/2020,BARCLAY,TST* CAVA MEZZE OLNEY,RESTAURANT,-$62.89
05/29/2020,BARCLAY,HM.COM,NECESSITIES,-$192.79
05/31/2020,BARCLAY,ANNUAL FEE,NECESSITIES,-$89.00
05/31/2020,BARCLAY,E-ZPASS MD REBILL,EZPASS,-$25.00
06/01/2020,BARCLAY,DUNKIN #335440 Q35,RESTAURANT,-$3.96
06/02/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$191.51
06/03/2020,BARCLAY,"BUTCHERBOX, LLC",BUTCHERBOX,-$149.00
06/03/2020,BARCLAY,THAI CUISINE,RESTAURANT,-$38.81
06/03/2020,BARCLAY,FLOWERS BAKERY CAFE,ENTERTAINMENT,-$26.64
06/03/2020,BARCLAY,THE BIG GREEK CAFE - R,RESTAURANT,-$12.70
06/04/2020,BARCLAY,INSTACART,GROCERIES,-$79.49
06/04/2020,BARCLAY,INSTACART,GROCERIES,-$120.00
06/06/2020,BARCLAY,INSTACART,GROCERIES,-$65.00
06/06/2020,BARCLAY,INSTACART,GROCERIES,-$14.08
06/08/2020,BARCLAY,Burger King 5882,RESTAURANT,-$14.06
06/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.00
06/10/2020,BARCLAY,GNC.COM,ENZO,-$34.19
06/10/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$26.39
06/10/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
06/11/2020,BARCLAY,TMOBILE*TEL UPGRADE,MORTGAGE_CREDIT,-$445.19
06/13/2020,BARCLAY,TST* CAVA MEZZE OLNEY,RESTAURANT,-$88.20
06/13/2020,BARCLAY,SHELL OIL 575421859QPS,GAS,-$31.12
06/18/2020,BARCLAY,BUY BUY BABY NASH E-CM,NECESSITIES,-$137.79
06/19/2020,BARCLAY,USPS PO 2384800908,NECESSITIES,-$5.00
06/19/2020,BARCLAY,SUNOCO 0004448708 QPS,GAS,-$19.99
06/19/2020,BARCLAY,WWW.CVS.COM,NECESSITIES,-$18.15
06/21/2020,BARCLAY,AMZN MKTP US*MS4Q95HP1,AMAZON,-$27.23
06/23/2020,BARCLAY,USPS PO 2384800908,NECESSITIES,-$55.00
06/23/2020,BARCLAY,INSTACART,GROCERIES,-$126.86
06/23/2020,BARCLAY,INSTACART,GROCERIES,$21.96
06/23/2020,BARCLAY,HARRYS 888-212-6855,NECESSITIES,-$28.62
06/26/2020,BARCLAY,LA FITNESS,GYM,-$15.00
06/26/2020,BARCLAY,MCDONALD'S M4539 OF,RESTAURANT,-$10.79
06/26/2020,BARCLAY,THE BIG GREEK CAFE - R,RESTAURANT,-$31.80
06/27/2020,BARCLAY,BASKIN #349345 Q35,ENTERTAINMENT,-$13.75
06/27/2020,BARCLAY,CVS/PHARMACY #01445,MEDICAL,-$64.12
06/29/2020,BARCLAY,CVS/PHARMACY #01452,NECESSITIES,-$18.58
06/29/2020,BARCLAY,POTOMAC VALLEY CHIROPR,MEDICAL,-$45.00
06/29/2020,BARCLAY,GEMELLIS ITALIAN MARKE,ENTERTAINMENT,-$8.50
06/30/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$30.26
06/30/2020,BARCLAY,CVS/PHARMACY #01431,NECESSITIES,-$33.03
06/30/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$4.45
07/02/2020,BARCLAY,DICK'SSPORTINGGOODS.CO,ENZO,-$105.99
07/02/2020,BARCLAY,DICK'SSPORTINGGOODS.CO,ENZO,-$158.99
07/02/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$191.51
07/02/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$101.31
07/03/2020,BARCLAY,AMZN Mktp US*MJ69A83V0,AMAZON,-$42.30
07/05/2020,BARCLAY,LA FITNESS,GYM,-$29.99
07/05/2020,BARCLAY,CHRISTOPHER S HARDWARE,NECESSITIES,-$16.95
07/05/2020,BARCLAY,SAFEWAY 1668,GROCERIES,-$20.40
07/05/2020,BARCLAY,MD DNR LICENSING,ENTERTAINMENT,-$20.50
07/05/2020,BARCLAY,THE HOME DEPOT #2558,NECESSITIES,-$56.47
07/06/2020,BARCLAY,SQ *BROOKEVILLE BEER F,ENTERTAINMENT,-$16.80
07/06/2020,BARCLAY,CVS/PHARMACY #01431,MEDICAL,-$11.88
07/07/2020,BARCLAY,TST* CAVA MEZZE OLNEY,RESTAURANT,-$78.44
07/09/2020,BARCLAY,LA FITNESS,GYM,$15.00
07/09/2020,BARCLAY,LA FITNESS,GYM,$29.99
07/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$122.31
07/10/2020,BARCLAY,LOWES #00907*,NECESSITIES,-$106.00
07/10/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
07/11/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$31.72
07/13/2020,BARCLAY,TARGET        00014159,TARGET,-$11.68
07/13/2020,BARCLAY,TARGET        00011932,TARGET,-$19.15
07/13/2020,BARCLAY,TARGET        00011932,TARGET,-$2.11
07/13/2020,BARCLAY,POTOMAC VALLEY CHIROPR,MEDICAL,-$45.00
07/13/2020,BARCLAY,GEMELLIS ITALIAN MARKE,ENTERTAINMENT,-$8.50
07/13/2020,BARCLAY,HOMEDEPOT.COM,NECESSITIES,-$52.99
07/14/2020,BARCLAY,DUNKIN #355132 Q35,RESTAURANT,-$3.21
07/18/2020,BARCLAY,TST* CAVA MEZZE OLNEY,RESTAURANT,-$54.06
07/18/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$9.50
07/18/2020,BARCLAY,THE HOME DEPOT #2558,NECESSITIES,-$23.30
07/18/2020,BARCLAY,THE HOME DEPOT #2558,NECESSITIES,$52.99
07/19/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$44.72
07/19/2020,BARCLAY,SAFEWAY 2797,GAS,-$11.08
07/19/2020,BARCLAY,THE HOME DEPOT #2558,NECESSITIES,-$11.58
07/20/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$17.23
07/20/2020,BARCLAY,7-ELEVEN 11595,ENZO,-$4.71
07/21/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$3.49
07/22/2020,BARCLAY,PAYPAL *PHARMCY SVC,MEDICAL,-$25.00
07/22/2020,BARCLAY,CVS/PHARMACY #01445,MEDICAL,$64.12
07/23/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$94.68
07/24/2020,BARCLAY,AMZN Mktp US*MV90I1XP2,AMAZON,-$71.26
07/24/2020,BARCLAY,SAFEWAY 1668,GROCERIES,-$4.04
07/25/2020,BARCLAY,SQ *BEN & JERRY'S ROCK,ENTERTAINMENT,-$5.83
07/25/2020,BARCLAY,SQ *BEN & JERRY'S ROCK,ENTERTAINMENT,-$17.49
07/27/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$15.54
07/30/2020,BARCLAY,ILLY CAFFE NA,NECESSITIES,-$45.57
07/30/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$7.24
07/30/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$54.43
08/01/2020,BARCLAY,DD/BR #349041 Q35,RESTAURANT,-$8.77
08/01/2020,BARCLAY,GEICO  *AUTO,CAR INSURANCE,-$446.43
08/02/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$27.53
08/03/2020,BARCLAY,"BUTCHERBOX, LLC",BUTCHERBOX,-$169.00
08/03/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$192.47
08/04/2020,BARCLAY,DUNKIN #335440 Q35,RESTAURANT,-$1.17
08/04/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$35.69
08/07/2020,BARCLAY,SQ *NIRVANA INDIAN CUI,RESTAURANT,-$48.71
08/07/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$145.36
08/09/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$61.36
08/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.00
08/11/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
08/12/2020,BARCLAY,SAFEWAY 1668,GROCERIES,-$24.71
08/13/2020,BARCLAY,AMAZON.COM*MF3HE2UA2 A,AMAZON,-$15.05
08/13/2020,BARCLAY,MCDONALD'S F1359,RESTAURANT,-$2.32
08/13/2020,BARCLAY,CVS/PHARMACY #01502,NECESSITIES,-$6.35
08/13/2020,BARCLAY,SAFEWAY 1668,GROCERIES,-$34.92
08/14/2020,BARCLAY,QDI*QUEST DIAGNOSTICS,MEDICAL,-$62.65
08/14/2020,BARCLAY,Amazon.com*MF0P94790,AMAZON,-$100.00
08/14/2020,BARCLAY,MCDONALD'S M4539 OF,RESTAURANT,-$10.68
08/14/2020,BARCLAY,AMZN Mktp US*MM2KI4A31,AMAZON,-$19.40
08/15/2020,BARCLAY,Amazon.com*MF88Y6WB2,AMAZON,-$5.38
08/15/2020,BARCLAY,Amazon.com*MF5CI4UF0,AMAZON,-$5.30
08/15/2020,BARCLAY,THE BIG GREEK CAFE - R,RESTAURANT,-$40.00
08/15/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$73.60
08/16/2020,BARCLAY,AMZN Mktp US*MM1WQ7PB1,AMAZON,-$4.91
08/19/2020,BARCLAY,MCG ABS LEISURE WORLD,ENZO,-$39.28
08/20/2020,BARCLAY,SAFEWAY 2797,GROCERIES,-$25.64
08/21/2020,BARCLAY,WALMART.COM AW,PAPER TOWELS,-$42.27
08/21/2020,BARCLAY,GIANT 0135,GROCERIES,-$20.03
08/21/2020,BARCLAY,EXXONMOBIL 97585418,GAS,-$21.19
08/24/2020,BARCLAY,DICK'SSPORTINGGOODS.CO,ENZO,-$116.59
